Accession code,Uniprot URL
Q9Y2U5,https://www.uniprot.org/uniprot/Q9Y2U5
Q9NYL2,https://www.uniprot.org/uniprot/Q9NYL2
Q5TCX8,https://www.uniprot.org/uniprot/Q5TCX8
Q99759,https://www.uniprot.org/uniprot/Q99759
Q9Y6R4,https://www.uniprot.org/uniprot/Q9Y6R4
Q99683,https://www.uniprot.org/uniprot/Q99683
O95382,https://www.uniprot.org/uniprot/O95382
O43318,https://www.uniprot.org/uniprot/O43318
P41279,https://www.uniprot.org/uniprot/P41279
P80192,https://www.uniprot.org/uniprot/P80192
Q92918,https://www.uniprot.org/uniprot/Q92918
Q12851,https://www.uniprot.org/uniprot/Q12851
Q8IVH8,https://www.uniprot.org/uniprot/Q8IVH8
O95819,https://www.uniprot.org/uniprot/O95819
Q9Y4K4,https://www.uniprot.org/uniprot/Q9Y4K4
Q8N4C8,https://www.uniprot.org/uniprot/Q8N4C8
Q8NEV4,https://www.uniprot.org/uniprot/Q8NEV4
Q8WXR4,https://www.uniprot.org/uniprot/Q8WXR4
Q7Z2Y5,https://www.uniprot.org/uniprot/Q7Z2Y5
O95747,https://www.uniprot.org/uniprot/O95747
Q13153,https://www.uniprot.org/uniprot/Q13153
Q13177,https://www.uniprot.org/uniprot/Q13177
O75914,https://www.uniprot.org/uniprot/O75914
O96013,https://www.uniprot.org/uniprot/O96013
Q9P286,https://www.uniprot.org/uniprot/Q9P286
Q9NQU5,https://www.uniprot.org/uniprot/Q9NQU5
Q96KB5,https://www.uniprot.org/uniprot/Q96KB5
Q9H2G2,https://www.uniprot.org/uniprot/Q9H2G2
O94804,https://www.uniprot.org/uniprot/O94804
Q9Y6E0,https://www.uniprot.org/uniprot/Q9Y6E0
O00506,https://www.uniprot.org/uniprot/O00506
Q9P289,https://www.uniprot.org/uniprot/Q9P289
Q13188,https://www.uniprot.org/uniprot/Q13188
Q9UEW8,https://www.uniprot.org/uniprot/Q9UEW8
Q13043,https://www.uniprot.org/uniprot/Q13043
Q7RTN6,https://www.uniprot.org/uniprot/Q7RTN6
Q9C0K7,https://www.uniprot.org/uniprot/Q9C0K7
Q7L7X3,https://www.uniprot.org/uniprot/Q7L7X3
Q9UL54,https://www.uniprot.org/uniprot/Q9UL54
Q9H2K8,https://www.uniprot.org/uniprot/Q9H2K8
Q9UKE5,https://www.uniprot.org/uniprot/Q9UKE5
Q04771,https://www.uniprot.org/uniprot/Q04771
P36896,https://www.uniprot.org/uniprot/P36896
Q8NER5,https://www.uniprot.org/uniprot/Q8NER5
P27037,https://www.uniprot.org/uniprot/P27037
Q13705,https://www.uniprot.org/uniprot/Q13705
P37023,https://www.uniprot.org/uniprot/P37023
Q16671,https://www.uniprot.org/uniprot/Q16671
Q8NFD2,https://www.uniprot.org/uniprot/Q8NFD2
P10398,https://www.uniprot.org/uniprot/P10398
P36894,https://www.uniprot.org/uniprot/P36894
