Accession code,Uniprot URL
P10646,https://www.uniprot.org/uniprot/P10646
Q15672,https://www.uniprot.org/uniprot/Q15672
Q16623,https://www.uniprot.org/uniprot/Q16623
Q99638,https://www.uniprot.org/uniprot/Q99638
Q96HZ4,https://www.uniprot.org/uniprot/Q96HZ4
Q9ULV4,https://www.uniprot.org/uniprot/Q9ULV4
Q92688,https://www.uniprot.org/uniprot/Q92688
P40337,https://www.uniprot.org/uniprot/P40337
P48426,https://www.uniprot.org/uniprot/P48426
P10243,https://www.uniprot.org/uniprot/P10243
Q06265,https://www.uniprot.org/uniprot/Q06265
Q92784-2,https://www.uniprot.org/uniprot/Q92784-2
P56270,https://www.uniprot.org/uniprot/P56270
Q02078,https://www.uniprot.org/uniprot/Q02078
Q9BPX3,https://www.uniprot.org/uniprot/Q9BPX3
Q06609,https://www.uniprot.org/uniprot/Q06609
P49321-2,https://www.uniprot.org/uniprot/P49321-2
P23760,https://www.uniprot.org/uniprot/P23760
P20810,https://www.uniprot.org/uniprot/P20810
P14317,https://www.uniprot.org/uniprot/P14317
Q15653,https://www.uniprot.org/uniprot/Q15653
Q13829,https://www.uniprot.org/uniprot/Q13829
Q9UJY5,https://www.uniprot.org/uniprot/Q9UJY5
Q13426,https://www.uniprot.org/uniprot/Q13426
O15379,https://www.uniprot.org/uniprot/O15379
Q16543,https://www.uniprot.org/uniprot/Q16543
Q15019,https://www.uniprot.org/uniprot/Q15019
P30305,https://www.uniprot.org/uniprot/P30305
Q9UMD9,https://www.uniprot.org/uniprot/Q9UMD9
O60341,https://www.uniprot.org/uniprot/O60341
P61244,https://www.uniprot.org/uniprot/P61244
Q15596,https://www.uniprot.org/uniprot/Q15596
P29590,https://www.uniprot.org/uniprot/P29590
P78344,https://www.uniprot.org/uniprot/P78344
Q92769,https://www.uniprot.org/uniprot/Q92769
Q14493,https://www.uniprot.org/uniprot/Q14493
O75376,https://www.uniprot.org/uniprot/O75376
P42575,https://www.uniprot.org/uniprot/P42575
O95863,https://www.uniprot.org/uniprot/O95863
P13349,https://www.uniprot.org/uniprot/P13349
Q96NY9,https://www.uniprot.org/uniprot/Q96NY9
P36955,https://www.uniprot.org/uniprot/P36955
Q9HCU9,https://www.uniprot.org/uniprot/Q9HCU9
P04198,https://www.uniprot.org/uniprot/P04198
Q03112,https://www.uniprot.org/uniprot/Q03112
Q9BRS2,https://www.uniprot.org/uniprot/Q9BRS2
Q9Y237,https://www.uniprot.org/uniprot/Q9Y237
Q96KQ7,https://www.uniprot.org/uniprot/Q96KQ7
Q13541,https://www.uniprot.org/uniprot/Q13541
P46060,https://www.uniprot.org/uniprot/P46060
P41002,https://www.uniprot.org/uniprot/P41002
P27540,https://www.uniprot.org/uniprot/P27540
P04818,https://www.uniprot.org/uniprot/P04818
O43395,https://www.uniprot.org/uniprot/O43395
O76061,https://www.uniprot.org/uniprot/O76061
O60671,https://www.uniprot.org/uniprot/O60671
P43629,https://www.uniprot.org/uniprot/P43629
P02671,https://www.uniprot.org/uniprot/P02671
O15392,https://www.uniprot.org/uniprot/O15392
P06744,https://www.uniprot.org/uniprot/P06744
P30793,https://www.uniprot.org/uniprot/P30793
Q9UBN7,https://www.uniprot.org/uniprot/Q9UBN7
Q01534,https://www.uniprot.org/uniprot/Q01534
Q13563,https://www.uniprot.org/uniprot/Q13563
P30307,https://www.uniprot.org/uniprot/P30307
Q13547,https://www.uniprot.org/uniprot/Q13547
Q13283,https://www.uniprot.org/uniprot/Q13283
Q15185,https://www.uniprot.org/uniprot/Q15185
P09651,https://www.uniprot.org/uniprot/P09651
P52907,https://www.uniprot.org/uniprot/P52907
P07910,https://www.uniprot.org/uniprot/P07910
Q93009,https://www.uniprot.org/uniprot/Q93009
O43156,https://www.uniprot.org/uniprot/O43156
Q01105-2,https://www.uniprot.org/uniprot/Q01105-2
P11473,https://www.uniprot.org/uniprot/P11473
P30291,https://www.uniprot.org/uniprot/P30291
Q12798,https://www.uniprot.org/uniprot/Q12798
P68400,https://www.uniprot.org/uniprot/P68400
P06493,https://www.uniprot.org/uniprot/P06493
P53539,https://www.uniprot.org/uniprot/P53539
P06401,https://www.uniprot.org/uniprot/P06401
O14737,https://www.uniprot.org/uniprot/O14737
P12259,https://www.uniprot.org/uniprot/P12259
O75676,https://www.uniprot.org/uniprot/O75676
P18858,https://www.uniprot.org/uniprot/P18858
P10244,https://www.uniprot.org/uniprot/P10244
P05549,https://www.uniprot.org/uniprot/P05549
P49795,https://www.uniprot.org/uniprot/P49795
Q13133,https://www.uniprot.org/uniprot/Q13133
Q04637-8,https://www.uniprot.org/uniprot/Q04637-8
P27986,https://www.uniprot.org/uniprot/P27986
O75496,https://www.uniprot.org/uniprot/O75496
Q14194,https://www.uniprot.org/uniprot/Q14194
O43379,https://www.uniprot.org/uniprot/O43379
O14965,https://www.uniprot.org/uniprot/O14965
O15143,https://www.uniprot.org/uniprot/O15143
Q14980,https://www.uniprot.org/uniprot/Q14980
Q96EZ8,https://www.uniprot.org/uniprot/Q96EZ8
Q14203,https://www.uniprot.org/uniprot/Q14203
Q13761,https://www.uniprot.org/uniprot/Q13761
P46937,https://www.uniprot.org/uniprot/P46937
Q92974,https://www.uniprot.org/uniprot/Q92974
P12755,https://www.uniprot.org/uniprot/P12755
Q9BQG0,https://www.uniprot.org/uniprot/Q9BQG0
Q8WV24,https://www.uniprot.org/uniprot/Q8WV24
Q9HC77,https://www.uniprot.org/uniprot/Q9HC77
Q8TEW0,https://www.uniprot.org/uniprot/Q8TEW0
Q8NHV4,https://www.uniprot.org/uniprot/Q8NHV4
P53350,https://www.uniprot.org/uniprot/P53350
Q15398,https://www.uniprot.org/uniprot/Q15398
Q13158,https://www.uniprot.org/uniprot/Q13158
Q9NRM7,https://www.uniprot.org/uniprot/Q9NRM7
O15350,https://www.uniprot.org/uniprot/O15350
O14777,https://www.uniprot.org/uniprot/O14777
O95983,https://www.uniprot.org/uniprot/O95983
Q49MG5,https://www.uniprot.org/uniprot/Q49MG5
Q96CX2,https://www.uniprot.org/uniprot/Q96CX2
O43521,https://www.uniprot.org/uniprot/O43521
Q14511,https://www.uniprot.org/uniprot/Q14511
Q9ULW0,https://www.uniprot.org/uniprot/Q9ULW0
Q9UPY8,https://www.uniprot.org/uniprot/Q9UPY8
Q13526,https://www.uniprot.org/uniprot/Q13526
Q8IX03,https://www.uniprot.org/uniprot/Q8IX03
P10275,https://www.uniprot.org/uniprot/P10275
Q96CG3,https://www.uniprot.org/uniprot/Q96CG3
O15360,https://www.uniprot.org/uniprot/O15360
Q9BXS6,https://www.uniprot.org/uniprot/Q9BXS6
P53667,https://www.uniprot.org/uniprot/P53667
P49450,https://www.uniprot.org/uniprot/P49450
Q9NS23-2,https://www.uniprot.org/uniprot/Q9NS23-2
P11233,https://www.uniprot.org/uniprot/P11233
Q9Y6A5,https://www.uniprot.org/uniprot/Q9Y6A5
P35269,https://www.uniprot.org/uniprot/P35269
P13631,https://www.uniprot.org/uniprot/P13631
Q9NQS7,https://www.uniprot.org/uniprot/Q9NQS7
Q8NHZ8,https://www.uniprot.org/uniprot/Q8NHZ8
O95835,https://www.uniprot.org/uniprot/O95835
P46937-2,https://www.uniprot.org/uniprot/P46937-2
P04049,https://www.uniprot.org/uniprot/P04049
Q02241,https://www.uniprot.org/uniprot/Q02241
Q4VCS5,https://www.uniprot.org/uniprot/Q4VCS5
Q9GZV5,https://www.uniprot.org/uniprot/Q9GZV5
P09619,https://www.uniprot.org/uniprot/P09619
P16234,https://www.uniprot.org/uniprot/P16234
Q05397,https://www.uniprot.org/uniprot/Q05397
P42684,https://www.uniprot.org/uniprot/P42684
Q13769,https://www.uniprot.org/uniprot/Q13769
P06241,https://www.uniprot.org/uniprot/P06241
Q07912,https://www.uniprot.org/uniprot/Q07912
P22455,https://www.uniprot.org/uniprot/P22455
P21127,https://www.uniprot.org/uniprot/P21127
P24941,https://www.uniprot.org/uniprot/P24941
Q00534,https://www.uniprot.org/uniprot/Q00534
O00267,https://www.uniprot.org/uniprot/O00267
P50750,https://www.uniprot.org/uniprot/P50750
P24928,https://www.uniprot.org/uniprot/P24928
P10276,https://www.uniprot.org/uniprot/P10276
Q9H0D6,https://www.uniprot.org/uniprot/Q9H0D6
Q01094,https://www.uniprot.org/uniprot/Q01094
P11802,https://www.uniprot.org/uniprot/P11802
Q15797,https://www.uniprot.org/uniprot/Q15797
Q9BYE7,https://www.uniprot.org/uniprot/Q9BYE7
Q9NYV4,https://www.uniprot.org/uniprot/Q9NYV4
Q13285,https://www.uniprot.org/uniprot/Q13285
Q15208,https://www.uniprot.org/uniprot/Q15208
Q96QF0,https://www.uniprot.org/uniprot/Q96QF0
Q9Y478,https://www.uniprot.org/uniprot/Q9Y478
Q7Z3C6,https://www.uniprot.org/uniprot/Q7Z3C6
Q7Z628,https://www.uniprot.org/uniprot/Q7Z628
P07954,https://www.uniprot.org/uniprot/P07954
Q8IY63,https://www.uniprot.org/uniprot/Q8IY63
Q13131,https://www.uniprot.org/uniprot/Q13131
Q15036,https://www.uniprot.org/uniprot/Q15036
Q06210-2,https://www.uniprot.org/uniprot/Q06210-2
P29474,https://www.uniprot.org/uniprot/P29474
P50552,https://www.uniprot.org/uniprot/P50552
Q13085,https://www.uniprot.org/uniprot/Q13085
Q9UQK1,https://www.uniprot.org/uniprot/Q9UQK1
P23458,https://www.uniprot.org/uniprot/P23458
P63244,https://www.uniprot.org/uniprot/P63244
O95278,https://www.uniprot.org/uniprot/O95278
Q9H0B6,https://www.uniprot.org/uniprot/Q9H0B6
P52292,https://www.uniprot.org/uniprot/P52292
O00418,https://www.uniprot.org/uniprot/O00418
O60825,https://www.uniprot.org/uniprot/O60825
O43524,https://www.uniprot.org/uniprot/O43524
P08151,https://www.uniprot.org/uniprot/P08151
Q16576,https://www.uniprot.org/uniprot/Q16576
P11908,https://www.uniprot.org/uniprot/P11908
Q9BZL4,https://www.uniprot.org/uniprot/Q9BZL4
Q6TCH7,https://www.uniprot.org/uniprot/Q6TCH7
P00533,https://www.uniprot.org/uniprot/P00533
Q92538,https://www.uniprot.org/uniprot/Q92538
P60891,https://www.uniprot.org/uniprot/P60891
Q8N122,https://www.uniprot.org/uniprot/Q8N122
Q13621,https://www.uniprot.org/uniprot/Q13621
Q13362,https://www.uniprot.org/uniprot/Q13362
P41235,https://www.uniprot.org/uniprot/P41235
P49674,https://www.uniprot.org/uniprot/P49674
P04626,https://www.uniprot.org/uniprot/P04626
Q14694,https://www.uniprot.org/uniprot/Q14694
Q9BUB5-2,https://www.uniprot.org/uniprot/Q9BUB5-2
O95239,https://www.uniprot.org/uniprot/O95239
O75385,https://www.uniprot.org/uniprot/O75385
Q9BU19,https://www.uniprot.org/uniprot/Q9BU19
Q05469,https://www.uniprot.org/uniprot/Q05469
Q15910,https://www.uniprot.org/uniprot/Q15910
P36956-3,https://www.uniprot.org/uniprot/P36956-3
Q86TI0,https://www.uniprot.org/uniprot/Q86TI0
Q9H3M7,https://www.uniprot.org/uniprot/Q9H3M7
Q07866,https://www.uniprot.org/uniprot/Q07866
P26358-2,https://www.uniprot.org/uniprot/P26358-2
Q16875,https://www.uniprot.org/uniprot/Q16875
