ID,CNumber,Target,Screen Conc(0.001),% Activity Remaining,Standard Deviation,Screen Conc(0.01),% Activity Remaining.1,Standard Deviation.1,Screen Conc(0.1),% Activity Remaining.2,Standard Deviation.2,Screen Conc(0.1-1.0),% Activity Remaining.3,Standard Deviation.3,Screen Conc(1.0),% Activity Remaining.4,Standard Deviation.4,Screen Conc(1.0-5.0),% Activity Remaining.5,Standard Deviation.5,Screen Conc(5.0-10.0),% Activity Remaining.6,Standard Deviation.6,Screen Conc(10.0),% Activity Remaining.7,Standard Deviation.7,Screen Conc(10.0-25.0),% Activity Remaining.8,Standard Deviation.8,Screen Conc(25.0),% Activity Remaining.9,Standard Deviation.9,Screen Conc(25.0-50.0),% Activity Remaining.10,Standard Deviation.10,Screen Conc(50.0),% Activity Remaining.11,Standard Deviation.11,Screen Conc(100.0),% Activity Remaining.12,Standard Deviation.12,Screen Conc(>100.0),% Activity Remaining.13,Standard Deviation.13
83,177.0,Q14680,,,,,,,0.1,95,11,,,,1.0,94,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,177.0,O60285,,,,,,,0.1,113,9,,,,1.0,78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,177.0,CK1 delta ,,,,,,,0.1,102,4,,,,1.0,104,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,177.0,P67870,,,,,,,0.1,106,15,,,,1.0,77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,177.0,Q13627,,,,,,,0.1,117,0,,,,1.0,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,177.0,Q92630,,,,,,,0.1,114,5,,,,1.0,89,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,177.0,O43781,,,,,,,0.1,94,7,,,,1.0,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,177.0,NEK2a,,,,,,,0.1,108,0,,,,1.0,89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,177.0,Q9HC98,,,,,,,0.1,122,5,,,,1.0,93,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,177.0,IKK beta ,,,,,,,0.1,102,17,,,,1.0,95,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,177.0,IKK epsilon ,,,,,,,0.1,120,4,,,,1.0,92,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,177.0,Q9UHD2,,,,,,,0.1,105,1,,,,1.0,102,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,177.0,P11309,,,,,,,0.1,102,1,,,,1.0,72,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,177.0,Q9P1W9,,,,,,,0.1,91,7,,,,1.0,106,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,177.0,Q86V86,,,,,,,0.1,126,6,,,,1.0,80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,177.0,Q96SB4,,,,,,,0.1,104,10,,,,1.0,88,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,177.0,Q92974,,,,,,,0.1,48,57,,,,1.0,85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,177.0,Q86Z02,,,,,,,0.1,102,11,,,,1.0,98,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,177.0,Q9H2X6,,,,,,,0.1,98,9,,,,1.0,82,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
